row_id,coder,paper_title,paper_id,dependent_variable_main_theme,coded_dependent_variable,depedendent_variable,dependent_variable_measurement,dependent_variable_measurement_technique,independent_variable_main_theme,independent_variable_sub_theme,independent_variable,independent_variable_measurement,independent_variable_measurement_technique,effect_direction,effect_direction_full_context,significant,alpha_value,effect_size,effect_size_metric,effect_size_full_context,confidence_interval,sample_size,independent_variable_measurement_others,sample_size_full _context
r11,Joni,Troubleshooting Conversations: Exploring Chatbot Repair Strategies,A13,Theme 1: User Experience and Satisfaction,Usability,Usability,MULTI,survey,BEHAVIORAL,Behavioral_Patterns,Technological Affinity,MULTI,survey,NO EFFECT,,No,0.05,-0.09,SPEARMAN's RHO,,NO,165,,
r12,Joni,Troubleshooting Conversations: Exploring Chatbot Repair Strategies,A13,Theme 4: Social Perception and Anthropomorphism,Likability,Likability,MULTI,survey,BEHAVIORAL,Behavioral_Patterns,Curiosity about technology,MULTI,survey,POSITIVE,,Yes,0.05,0.16,SPEARMAN's RHO,,NO,165,,
r13,Joni,Troubleshooting Conversations: Exploring Chatbot Repair Strategies,A13,Theme 4: Social Perception and Anthropomorphism,Likability,Likability,MULTI,survey,BEHAVIORAL,Behavioral_Patterns,Interest in chatbots,MULTI,survey,NEGATIVE,,Yes,0.05,-0.18,SPEARMAN's RHO,,NO,165,,
r14,Joni,Troubleshooting Conversations: Exploring Chatbot Repair Strategies,A13,Theme 4: Social Perception and Anthropomorphism,Likability,Likability,MULTI,survey,BEHAVIORAL,Behavioral_Patterns,Skepticism about technology,MULTI,survey,NEGATIVE,,No,0.05,-0.14,SPEARMAN's RHO,,NO,165,,
r15,Joni,Time to Get Conversational: Assessment of the Potential of Conversational User Interfaces for Mobile Banking,A15,Theme 1: User Experience and Satisfaction,Usefulness,Usefulness,MULTI,survey,REPRESENTATIONAL,Visual_Appearance,Interface Type (baseline vs speech vs hybrid),SINGLE,other,NO EFFECT,,No,0.05,1.61,Chi-square statistic (χ²),,NO,18,Experimental manipulation - participants used all three interface versions in counterbalanced order,
r16,Joni,Time to Get Conversational: Assessment of the Potential of Conversational User Interfaces for Mobile Banking,A15,Theme 1: User Experience and Satisfaction,Ease of use,Ease of use,MULTI,survey,REPRESENTATIONAL,Visual_Appearance,Interface Type (baseline vs speech vs hybrid),SINGLE,other,NO EFFECT,,No,0.05,2.62,Chi-square statistic (χ²),,NO,18,,
r17,Joni,Time to Get Conversational: Assessment of the Potential of Conversational User Interfaces for Mobile Banking,A15,Theme 1: User Experience and Satisfaction,Attractiveness,Attractiveness,MULTI,survey,REPRESENTATIONAL,Visual_Appearance,Interface Type (baseline vs speech vs hybrid),SINGLE,other,NO EFFECT,,No,0.05,0.28,F-statistic (ANOVA),,NO,18,Experimental manipulation - participants used all three interface versions in counterbalanced order,
r18,Joni,Time to Get Conversational: Assessment of the Potential of Conversational User Interfaces for Mobile Banking,A15,Theme 2: Trust and Credibility,Trust,Trust,MULTI,survey,REPRESENTATIONAL,Visual_Appearance,Interface Type (baseline vs speech vs hybrid),SINGLE,other,POSITIVE,,No,0.05,7.09,Chi-square statistic (χ²),,NO,18,Experimental manipulation - participants used all three interface versions in counterbalanced order,
r19,Joni,Time to Get Conversational: Assessment of the Potential of Conversational User Interfaces for Mobile Banking,A15,Theme 6: Technology Acceptance and Adoption Intentions,Willingness to use,Willingness to use,MULTI,survey,REPRESENTATIONAL,Visual_Appearance,Interface Type (baseline vs speech vs hybrid),SINGLE,other,NO EFFECT,,No,0.05,1.25,F-statistic (ANOVA),,NO,18,Experimental manipulation - participants used all three interface versions in counterbalanced order,
r20,Joni,Time to Get Conversational: Assessment of the Potential of Conversational User Interfaces for Mobile Banking,A15,Theme 2: Trust and Credibility,Mistrust,Mistrust,MULTI,survey,REPRESENTATIONAL,Visual_Appearance,Interface Type (baseline vs speech vs hybrid),SINGLE,other,NO EFFECT,,No,0.05,2.71,Chi-square statistic (χ²),,NO,18,Experimental manipulation - participants used all three interface versions in counterbalanced order,
r21,Joni,Time to Get Conversational: Assessment of the Potential of Conversational User Interfaces for Mobile Banking,A15,Theme 2: Trust and Credibility,Trust,Trust,MULTI,survey,REPRESENTATIONAL,Visual_Appearance,Interface Type (baseline vs speech vs hybrid),SINGLE,other,NO EFFECT,,No,0.05,0.75,F-statistic (ANOVA),,NO,18,Experimental manipulation - participants used all three interface versions in counterbalanced order,
r22,Joni,Time to Get Conversational: Assessment of the Potential of Conversational User Interfaces for Mobile Banking,A15,Theme 1: User Experience and Satisfaction,Quality,Quality,MULTI,survey,REPRESENTATIONAL,Visual_Appearance,Interface Type (baseline vs speech vs hybrid),SINGLE,other,NO EFFECT,,No,0.05,1.9,Chi-square statistic (χ²),,NO,18,Experimental manipulation - participants used all three interface versions in counterbalanced order,
r23,Joni,Time to Get Conversational: Assessment of the Potential of Conversational User Interfaces for Mobile Banking,A15,Theme 1: User Experience and Satisfaction,Quality,Quality,MULTI,survey,REPRESENTATIONAL,Visual_Appearance,Interface Type (baseline vs speech vs hybrid),SINGLE,other,NO EFFECT,,No,0.05,0.69,F-statistic (ANOVA),,NO,18,Experimental manipulation - participants used all three interface versions in counterbalanced order,
r24,Joni,Time to Get Conversational: Assessment of the Potential of Conversational User Interfaces for Mobile Banking,A15,Theme 2: Trust and Credibility,Security,Security,MULTI,survey,REPRESENTATIONAL,Visual_Appearance,Interface Type (baseline vs speech vs hybrid),SINGLE,other,NO EFFECT,,No,0.05,0.49,F-statistic (ANOVA),,NO,18,Experimental manipulation - participants used all three interface versions in counterbalanced order,
r25,Joni,The Role of Trust in Proactive Conversational Assistants,A16,Theme 2: Trust and Credibility,Competence,Competence,MULTI,survey,BEHAVIORAL,Behavioral_Patterns,Proactive Dialogue Action (None vs Notification vs Suggestion vs Intervention),SINGLE,other,POSITIVE,,YES,0.05,8.25,F-statistic (ANOVA),η² = 0.39,NO,42,Experimental manipulation - participants randomly assigned to one of four proactive dialogue strategy conditions,
r26,Joni,The Role of Trust in Proactive Conversational Assistants,A16,Theme 2: Trust and Credibility,Reliability,Reliability,MULTI,survey,BEHAVIORAL,Behavioral_Patterns,Proactive Dialogue Action (None vs Notification vs Suggestion vs Intervention),SINGLE,other,POSITIVE,,YES,0.05,3.95,F-statistic (ANOVA),η² = 0.24,NO,42,Experimental manipulation - participants randomly assigned to one of four proactive dialogue strategy conditions,
r27,Joni,The Role of Trust in Proactive Conversational Assistants,A16,Theme 2: Trust and Credibility,Competence,Competence,MULTI,survey,BEHAVIORAL,Behavioral_Patterns,Proactive Dialogue Action (None vs Notification vs Suggestion vs Intervention),SINGLE,other,POSITIVE,,YES,0.05,3.02,t-statistic,(Notification vs Intervention); t(19) = 2.00 (Notification vs None),NO,42,Experimental manipulation - participants randomly assigned to one of four proactive dialogue strategy conditions,
r28,Joni,The Role of Trust in Proactive Conversational Assistants,A16,Theme 2: Trust and Credibility,Reliability,Reliability,MULTI,survey,BEHAVIORAL,Behavioral_Patterns,Proactive Dialogue Action (None vs Notification vs Suggestion vs Intervention),SINGLE,other,POSITIVE,,YES,0.05,3.16,t-statistic,,NO,42,Experimental manipulation - participants randomly assigned to one of four proactive dialogue strategy conditions,
r29,Joni,The Role of Trust in Proactive Conversational Assistants,A16,Theme 2: Trust and Credibility,Understandability,Understandability,MULTI,survey,BEHAVIORAL,Behavioral_Patterns,Proactive Dialogue Action (None vs Notification vs Suggestion vs Intervention),SINGLE,other,POSITIVE,,YES,0.05,2.61,t-statistic,(Notification vs Intervention); t(20) = 3.33 (Notification vs Suggestion),NO,42,Experimental manipulation - participants randomly assigned to one of four proactive dialogue strategy conditions,
r30,Joni,The Role of Trust in Proactive Conversational Assistants,A16,Theme 4: Social Perception and Anthropomorphism,Novelty,Novelty,MULTI,survey,BEHAVIORAL,Behavioral_Patterns,Proactive Dialogue Action (None vs Notification vs Suggestion vs Intervention),SINGLE,other,POSITIVE,,YES,0.05,2.52,t-statistic,,NO,42,Experimental manipulation - participants randomly assigned to one of four proactive dialogue strategy conditions,
r31,Joni,The Role of Trust in Proactive Conversational Assistants,A16,Theme 2: Trust and Credibility,Trust,Trust,MULTI,survey,CONTEXT,CONTEXT,Time (Initial trust vs After Task 1 vs After Task 2),SINGLE,other,POSITIVE,,YES,0.05,-3,t-statistic,,NO,10,Repeated measurement over time - trust measured before experiment and after each task,
r32,Joni,The Role of Trust in Proactive Conversational Assistants,A16,Theme 2: Trust and Credibility,Trust,Trust,MULTI,survey,CONTEXT,CONTEXT,Time (Initial trust vs After Task 1 vs After Task 2),SINGLE,other,POSITIVE,,YES,0.05,-3.95,t-statistic,,NO,11,Repeated measurement over time - trust measured before experiment and after each task,
r33,Joni,The Role of Trust in Proactive Conversational Assistants,A16,Theme 2: Trust and Credibility,Trust,Trust,MULTI,survey,CONTEXT,CONTEXT,Time (Initial trust vs After Task 1 vs After Task 2),SINGLE,other,POSITIVE,,YES,0.05,-2.9,t-statistic,,NO,11,Repeated measurement over time - trust measured before experiment and after each task,
r34,Joni,The Role of Trust in Proactive Conversational Assistants,A16,Theme 2: Trust and Credibility,Reliability,Reliability,MULTI,survey,BEHAVIORAL,Behavioral_Patterns,Proactive Dialogue Action (None vs Notification vs Suggestion vs Intervention),SINGLE,other,POSITIVE,,YES,0.05,-2.83,Z-statistic (Kruskal-Wallis with Dunn-Bonferroni post-hoc),,NO,21,Experimental manipulation - participants randomly assigned to one of four proactive dialogue strategy conditions,
r35,Joni,The Role of Trust in Proactive Conversational Assistants,A16,Theme 2: Trust and Credibility,Competence,Competence,MULTI,survey,BEHAVIORAL,Behavioral_Patterns,Proactive Dialogue Action (None vs Notification vs Suggestion vs Intervention),SINGLE,other,POSITIVE,,YES,0.05,-2.88,Z-statistic (Kruskal-Wallis with Dunn-Bonferroni post-hoc),,NO,21,Experimental manipulation - participants randomly assigned to one of four proactive dialogue strategy conditions,
r36,Joni,The Role of Trust in Proactive Conversational Assistants,A16,Theme 2: Trust and Credibility,Reliability,Reliability,MULTI,survey,BEHAVIORAL,Behavioral_Patterns,Proactive Dialogue Action (None vs Notification vs Suggestion vs Intervention),SINGLE,other,POSITIVE,,YES,0.05,-3.18,Z-statistic (Kruskal-Wallis with Dunn-Bonferroni post-hoc),(None vs Intervention); Z = -2.95 (Notification vs Intervention),NO,21,Experimental manipulation - participants randomly assigned to one of four proactive dialogue strategy conditions,
r37,Joni,The Role of Trust in Proactive Conversational Assistants,A16,Theme 2: Trust and Credibility,Reliability,Reliability,MULTI,survey,BEHAVIORAL,Behavioral_Patterns,Proactive Dialogue Action (None vs Notification vs Suggestion vs Intervention),SINGLE,other,POSITIVE,,YES,0.05,NA,NA,,NO,21,Experimental manipulation - participants randomly assigned to one of four proactive dialogue strategy conditions,
r38,Joni,Student Interaction with NewtBot: An LLM-as-tutor Chatbot for Secondary Physics Education,A22,Theme 1: User Experience and Satisfaction,User experience,User experience,MULTI,survey,BEHAVIORAL,Behavioral_Patterns,NewtBot Interaction Mode (Baseline vs Tutor vs Feedback),SINGLE,other,POSITIVE,,NO,0.05,NA,NA,,NO (standard deviations provided),50,Experimental manipulation - participants randomly assigned to one of three NewtBot back-end configurations with different internal prompt engineering,
r39,Joni,Student Interaction with NewtBot: An LLM-as-tutor Chatbot for Secondary Physics Education,A22,Theme 1: User Experience and Satisfaction,User experience,User experience,MULTI,survey,BEHAVIORAL,Behavioral_Patterns,NewtBot Interaction (all three modes compared against neutral baseline),SINGLE,other,POSITIVE,,YES,0.05,NA,NA,,NO,50,Experimental interaction - participants used NewtBot for physics tasks and rated their experience,
r40,Joni,Student Interaction with NewtBot: An LLM-as-tutor Chatbot for Secondary Physics Education,A22,Theme 1: User Experience and Satisfaction,Quality,Quality,MULTI,survey,BEHAVIORAL,Behavioral_Patterns,NewtBot Interaction (all three modes),SINGLE,other,POSITIVE,,NO,0.05,NA,NA,,NO,50,Experimental interaction - participants used NewtBot for physics tasks and rated pragmatic aspects,
r41,Joni,Student Interaction with NewtBot: An LLM-as-tutor Chatbot for Secondary Physics Education,A22,Theme 1: User Experience and Satisfaction,Quality,Quality,MULTI,survey,BEHAVIORAL,Behavioral_Patterns,NewtBot Interaction (all three modes),SINGLE,other,NO EFFECT,,NO,0.05,NA,NA,,NO,50,Experimental interaction - participants used NewtBot for physics tasks and rated hedonic aspects,
r42,Joni,Student Interaction with NewtBot: An LLM-as-tutor Chatbot for Secondary Physics Education,A22,Theme 3: Learning and Performance Outcomes,Performance expectancy,Performance expectancy,SINGLE,survey,BEHAVIORAL,Behavioral_Patterns,NewtBot Interaction Mode (Baseline vs Tutor vs Feedback),SINGLE,other,POSITIVE,,NO,0.05,NA,NA,,NO,50,Experimental manipulation - participants randomly assigned to one of three NewtBot configurations,
r43,Joni,Student Interaction with NewtBot: An LLM-as-tutor Chatbot for Secondary Physics Education,A22,Theme 3: Learning and Performance Outcomes,Performance expectancy,Performance expectancy,SINGLE,survey,BEHAVIORAL,Behavioral_Patterns,NewtBot Interaction Mode (Baseline vs Tutor vs Feedback),SINGLE,other,NO EFFECT,,NO,0.05,NA,NA,,NO,50,Experimental manipulation - participants randomly assigned to one of three NewtBot configurations,
r44,Joni,Student Interaction with NewtBot: An LLM-as-tutor Chatbot for Secondary Physics Education,A22,Theme 6: Technology Acceptance and Adoption Intentions,Willingness to use,Willingness to use,SINGLE,survey,BEHAVIORAL,Behavioral_Patterns,NewtBot Interaction Mode (Baseline vs Tutor vs Feedback),SINGLE,other,POSITIVE,,NO,0.05,NA,NA,,NO,50,Experimental manipulation - participants randomly assigned to one of three NewtBot configurations,
r45,Joni,Personalized Medical Terminology Learning Game: Guess the Term,A34,Theme 3: Learning and Performance Outcomes,Knowledge gain,Knowledge gain,SINGLE,observation,CONTEXT,CONTEXT,Learning Method (Wordbot vs. Self-Study Control),SINGLE,other,POSITIVE,,YES,0.05,NA,NA,,NO,48,-10.1604,
r46,Joni,Personalized Medical Terminology Learning Game: Guess the Term,A34,Theme 1: User Experience and Satisfaction,Usability,Usability,MULTI,survey,REPRESENTATIONAL,Demographics,Wordbot System (assessed after usage),SINGLE,other,POSITIVE,,NO,NA,NA,NA,,NO,15,Post-usage evaluation - participants completed SUS after using Wordbot for 4 months,
r47,Joni,Personalized Medical Terminology Learning Game: Guess the Term,A34,Theme 3: Learning and Performance Outcomes,Knowledge gain,Knowledge gain,SINGLE,observation,CONTEXT,CONTEXT,Time/Wordbot Training Period (pre-test vs. post-test after 4 months of Wordbot use),SINGLE,other,POSITIVE,,NO,0.05,NA,NA,,NO,24,Longitudinal within-subjects comparison - same participants tested before and after 4-month intervention period,
r48,Joni,Personalized Medical Terminology Learning Game: Guess the Term,A34,Theme 3: Learning and Performance Outcomes,Knowledge gain,Knowledge gain,SINGLE,observation,CONTEXT,CONTEXT,Time/Self-Study Period (pre-test vs. post-test after 4 months),SINGLE,other,POSITIVE,,NO,NA,NA,NA,,NO,24,Longitudinal within-subjects comparison - same participants tested before and after 4-month period with self-study only,
r49,Joni,Investigating meta-intents: user interaction preferences in conversational recommender systems,A42,Theme 7: Individual Differences as Moderators,Interest in details,Interest in details,MULTI,survey,BEHAVIORAL,Personality_Traits,Decision-making style (Rationality vs. Intuitiveness cluster),MULTI,survey,POSITIVE,,YES,0.05,0.53,COHEN'S D,,NO,394,N/A,
r50,Joni,Investigating meta-intents: user interaction preferences in conversational recommender systems,A42,Theme 4: Social Perception and Anthropomorphism,Human-likeness,Human-likeness,MULTI,survey,BEHAVIORAL,Personality_Traits,Decision-making style (Rationality vs. Intuitiveness cluster),MULTI,survey,NEGATIVE,,YES,0.05,-0.26,COHEN'S D,,NO,394,N/A,
r51,Joni,Investigating meta-intents: user interaction preferences in conversational recommender systems,A42,Theme 7: Individual Differences as Moderators,Explanation-orientation,Explanation-orientation,MULTI,survey,BEHAVIORAL,Personality_Traits,Decision-making style (Rationality vs. Intuitiveness cluster),MULTI,survey,POSITIVE,,YES,0.05,0.27,COHEN'S D,,NO,394,N/A,
r52,Joni,Investigating meta-intents: user interaction preferences in conversational recommender systems,A42,Theme 7: Individual Differences as Moderators,Efficiency-orientation,Efficiency-orientation,MULTI,survey,BEHAVIORAL,Personality_Traits,Decision-making style (Rationality vs. Intuitiveness cluster),MULTI,survey,NEGATIVE,,YES,0.05,-0.57,COHEN'S D,,NO,394,N/A,
r53,Joni,Investigating meta-intents: user interaction preferences in conversational recommender systems,A42,Theme 5: Behavioral and Interaction Patterns,Number of interactions,Number of interactions,SINGLE,observation,BEHAVIORAL,Behavioral_Patterns,Initial dialog mode (user-initiated vs. system-initiated),SINGLE,other,POSITIVE,,YES,0.05,-0.49,COHEN'S D,,NO,143,Experimental manipulation: participants randomly assigned to start dialog in either user-initiated or system-initiated mode,
r54,Joni,Investigating meta-intents: user interaction preferences in conversational recommender systems,A42,Theme 3: Learning and Performance Outcomes,Performance,Performance,SINGLE,observation,BEHAVIORAL,Behavioral_Patterns,Initial dialog mode (user-initiated vs. system-initiated),SINGLE,other,POSITIVE,,YES,0.001,24.4,Chi-square statistic (χ²),,NO,143,Experimental manipulation: random assignment to initial mode,
r55,Joni,Investigating meta-intents: user interaction preferences in conversational recommender systems,A42,Theme 3: Learning and Performance Outcomes,Performance,Performance,SINGLE,observation,USER_MODERATOR,USER_MODERATOR,User-initiative preference (questionnaire score),MULTI,survey,POSITIVE,,YES,0.05,0.55,OTHER (logistic regression coefficient β),,NO,73,N/A,
r56,Joni,Investigating meta-intents: user interaction preferences in conversational recommender systems,A42,Theme 3: Learning and Performance Outcomes,Performance,Performance,SINGLE,observation,BEHAVIORAL,Behavioral_Patterns,System-initiative preference (questionnaire score),MULTI,survey,NEGATIVE,,YES,0.05,-0.56,OTHER (logistic regression coefficient β),,NO,73,N/A,
r57,Joni,Investigating meta-intents: user interaction preferences in conversational recommender systems,A42,Theme 3: Learning and Performance Outcomes,Performance,Performance,SINGLE,observation,USER_MODERATOR,USER_MODERATOR,Dialog-initiation preference (user-initiative score),MULTI,survey,NEGATIVE,,YES,0.01,-0.3,PEARSON'S R,,NO,99,N/A,
r58,Joni,Investigating meta-intents: user interaction preferences in conversational recommender systems,A42,Theme 5: Behavioral and Interaction Patterns,Number of interactions,Number of interactions,SINGLE,observation,BEHAVIORAL,Behavioral_Patterns,Efficiency-orientation,MULTI,survey,NEGATIVE,,YES,0.05,-0.22,PEARSON'S R,,NO,99,N/A,
r59,Joni,Investigating meta-intents: user interaction preferences in conversational recommender systems,A42,Theme 5: Behavioral and Interaction Patterns,Number of interactions,Number of interactions,MULTI,observation,BEHAVIORAL,Behavioral_Patterns,Interest in details,MULTI,survey,POSITIVE,,YES,0.01,0.48,PEARSON'S R,,NO,99,N/A,
r60,Joni,Investigating meta-intents: user interaction preferences in conversational recommender systems,A42,Theme 5: Behavioral and Interaction Patterns,Number of interactions,Number of interactions,SINGLE,observation,BEHAVIORAL,Behavioral_Patterns,Interest in details,MULTI,survey,POSITIVE,,YES,0.05,0.26,PEARSON'S R,,NO,99,N/A,
r61,Joni,"I Enjoy Writing and Playing, Do You?: A Personalized and Emotion Grounded Dialogue Agent Using Generative Adversarial Network",A47,Theme 3: Learning and Performance Outcomes,Accuracy,Accuracy,SINGLE,observation,BEHAVIORAL,Behavioral_Patterns,"Model type (EP-GAN vs. baselines: Seq2Seq, HRED, Trans, SeqGAN, Seq2Seq+E+P, HRED+E+P, Trans+E+P, CoBERT)",SINGLE,other,POSITIVE,,YES,0.05,NA,OTHER (perplexity score comparison),,NO,6,"Architectural manipulation: different neural network architectures for dialogue generation (encoder-decoder variants, hierarchical models, transformers, GAN-based)",
r62,Joni,"I Enjoy Writing and Playing, Do You?: A Personalized and Emotion Grounded Dialogue Agent Using Generative Adversarial Network",A47,Theme 3: Learning and Performance Outcomes,Accuracy,Accuracy,SINGLE,observation,BEHAVIORAL,Behavioral_Patterns,Model type (EP-GAN vs. baselines),SINGLE,other,POSITIVE,,YES,0.05,NA,OTHER (BLEU-4 score comparison),,NO,6,Architectural manipulation: different model architectures,
r63,Joni,"I Enjoy Writing and Playing, Do You?: A Personalized and Emotion Grounded Dialogue Agent Using Generative Adversarial Network",A47,Theme 3: Learning and Performance Outcomes,Accuracy,Accuracy,SINGLE,observation,BEHAVIORAL,Behavioral_Patterns,Model type (EP-GAN vs. baselines),SINGLE,other,POSITIVE,,YES,0.05,NA,OTHER (Rouge-L score comparison),,NO,6,Architectural manipulation,
r64,Joni,"I Enjoy Writing and Playing, Do You?: A Personalized and Emotion Grounded Dialogue Agent Using Generative Adversarial Network",A47,Theme 3: Learning and Performance Outcomes,Accuracy,Accuracy,SINGLE,observation,BEHAVIORAL,Behavioral_Patterns,Model type (EP-GAN vs. baselines),SINGLE,other,POSITIVE,,YES,0.05,NA,OTHER (emotion accuracy comparison),,NO,6,Architectural manipulation,
r65,Joni,"I Enjoy Writing and Playing, Do You?: A Personalized and Emotion Grounded Dialogue Agent Using Generative Adversarial Network",A47,Theme 3: Learning and Performance Outcomes,Distinctiveness,Distinctiveness,SINGLE,observation,BEHAVIORAL,Behavioral_Patterns,Model type (EP-GAN vs. baselines),SINGLE,other,POSITIVE,,YES,0.05,NA,OTHER (Distinct-1 score comparison),,NO,6,Architectural manipulation,
r66,Joni,"I Enjoy Writing and Playing, Do You?: A Personalized and Emotion Grounded Dialogue Agent Using Generative Adversarial Network",A47,Theme 3: Learning and Performance Outcomes,Distinctiveness,Distinctiveness,SINGLE,observation,BEHAVIORAL,Behavioral_Patterns,Model type (EP-GAN vs. baselines),SINGLE,other,POSITIVE,,YES,0.05,NA,OTHER (Distinct-2 score comparison),,NO,6,Architectural manipulation,
r67,Joni,Factors influencing acceptance and trust of chatbots in juvenile offenders' risk assessment training,A54,Theme 1: User Experience and Satisfaction,Satisfaction,Satisfaction,SINGLE,survey,REPRESENTATIONAL,Demographics,Chatbot usage/exposure,SINGLE,observation,POSITIVE,,NO,NA,NA,OTHER (percentage distribution),,NO,112,N/A,
r68,Joni,Factors influencing acceptance and trust of chatbots in juvenile offenders' risk assessment training,A54,Theme 1: User Experience and Satisfaction,Enjoyment,Enjoyment,SINGLE,survey,REPRESENTATIONAL,Demographics,Chatbot usage/exposure,SINGLE,observation,POSITIVE,,NO,NA,NA,OTHER (percentage distribution),,NO,112,N/A,
r69,Joni,Factors influencing acceptance and trust of chatbots in juvenile offenders' risk assessment training,A54,Theme 1: User Experience and Satisfaction,Usefulness,Usefulness,SINGLE,survey,REPRESENTATIONAL,Demographics,Chatbot usage/exposure,SINGLE,observation,POSITIVE,,NO,NA,NA,OTHER (percentage distribution),,NO,112,N/A,
r70,Joni,Factors influencing acceptance and trust of chatbots in juvenile offenders' risk assessment training,A54,Theme 1: User Experience and Satisfaction,Ease of use,Ease of use,SINGLE,survey,REPRESENTATIONAL,Demographics,Chatbot usage/exposure,SINGLE,observation,POSITIVE,,NO,NA,NA,OTHER (percentage distribution),,NO,112,N/A,
r71,Joni,Factors influencing acceptance and trust of chatbots in juvenile offenders' risk assessment training,A54,Theme 1: User Experience and Satisfaction,Perceived accuracy,Perceived accuracy,SINGLE,survey,REPRESENTATIONAL,Demographics,Chatbot usage/exposure,SINGLE,observation,NEGATIVE,,NO,NA,NA,OTHER (percentage distribution),,NO,112,N/A,
r72,Joni,Factors influencing acceptance and trust of chatbots in juvenile offenders' risk assessment training,A54,Theme 1: User Experience and Satisfaction,Clarity,Clarity,SINGLE,survey,REPRESENTATIONAL,Demographics,Chatbot usage/exposure,SINGLE,observation,NO EFFECT,,NO,NA,NA,OTHER (percentage distribution),,NO,112,N/A,
